station         code     network x               y              z        SEFD-92 SEFD-49 SEFD-30 SEFD-21 SEFD-18 SEFD-13 SEFD-6 SEFD-5 SEFD-3.6 SEFD-1.3 SEFD-0.7 SEFD-0.3 SEFD-0.1
Badary          Bd       EVN -838201.0685    3865751.5652   4987670.8885    -1       -1       -1       330      330      330      200     -1      200       710       -1    -1  -1
Effelsberg      Ef       EVN 4033947.2616    486990.7943    4900431.0017    600      600      65       20       19       300      20      25      20        70        200    -1  -1
Brewster        Br       VLBA -2112065.2062   -3705356.5048  4726813.6759    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Fort_Davis      Fd       VLBA -1324009.3266   -5332181.9547  3231962.3949    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Green_Bank      Gb       VLBA 882589.4102     -4924872.3416  3943729.4062    35       24       13       10       10       12       13      13      15        20        30   -1  -1
Hartebeesthoek  Hh       EVN 5085442.7637    2668263.7913   -2768696.7523   -1       -1       -1       -1       430      410      650     700     630       1800      -1   -1  -1
Hancock         Hn       VLBA 1446374.8658    -4447939.6774  4322306.1838    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Hobart          Ho       LBA -3950237.3590   2522347.6804   -4311561.8790   -1       -1       -1       470      470      650      640     640     560       1200      1800   -1  -1
Kitt_Peak       Kp       VLBA -1995678.8571   -5037317.7049  3357328.0174    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Kunming         Km       EVN -1281152.8362   5640864.3586   2682653.4434    -1       -1       -1       -1       -1       350      17      17      480       -1        -1     -1  -1
Los_Alamos      La       VLBA -1449752.5839   -4975298.5757  3709123.8459    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Medicina        Mc       EVN 4461369.6954    919597.1240    4449559.3812    -1       -1       -1       490      700      400      170     840     320       700       -1     -1  -1
Metsahovi       Mh       EVN 2892584.8489    1311715.5980   5512640.1545    -1       -1       -1       -1       -1       4500     -1      -1      3200      2608      4500   -1  -1
Mauna_Kea       Mk       VLBA -5464075.1874   -2495248.1168  2148297.3643    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
North_Liberty   Nl       VLBA -130872.4987    -4762317.0925  4226851.0014    2742     2744     -1       289      314      347      210     278     327       543       640  -1  -1
